Date,Clicks,Impressions,CTR,Position
2026-05-19,1,17,5.88%,10.1
2026-05-20,0,27,0%,9.7
2026-05-21,2,18,11.11%,7.2
2026-05-22,0,12,0%,10.7
2026-05-23,2,8,25%,23.9
2026-05-24,0,17,0%,8
2026-05-25,0,16,0%,30.1
